# Synthetic UAM hexacopter flight data for calibration smoke-testing.
#
# Generated from the actuator-disk + parasite-drag model with "true" parameters
#   figure_of_merit = 0.62, motor_efficiency = 0.88, esc_efficiency = 0.96,
#   parasite_drag_area_m2 = 0.55
# Baseline architecture geometry: max_arm = 5.50 m → r_eff = 2.75 m, A_single = 23.76 m²,
# air_density = 1.225 kg/m³. Small random noise (±2%) added so the calibrator has a non-zero
# residual; the recovered (η_total, Cd·A) should match the true values to ≤5%.
#
# Columns: mass_kg, airspeed_mps, climb_rate_mps, thrust_total_n, power_total_w,
#          air_density_kg_m3, label
mass_kg, airspeed_mps, climb_rate_mps, thrust_total_n, power_total_w, air_density_kg_m3, label
1800.0, 0.0,  0.0, 17658.0, 240500.0, 1.225, hover_light
1950.0, 0.0,  0.0, 19129.5, 271200.0, 1.225, hover_low_payload
2100.0, 0.0,  0.0, 20601.0, 303100.0, 1.225, hover_mid_payload
2250.0, 0.0,  0.0, 22072.5, 335400.0, 1.225, hover_design
2400.0, 0.0,  0.0, 23544.0, 369300.0, 1.225, hover_heavy
2550.0, 0.0,  0.0, 25015.5, 403800.0, 1.225, hover_very_heavy
2700.0, 0.0,  0.0, 26487.0, 440000.0, 1.225, hover_max
2250.0, 10.0, 0.0, 22075.0, 191000.0, 1.225, cruise_10mps
2250.0, 20.0, 0.0, 22080.0, 137000.0, 1.225, cruise_20mps
2250.0, 30.0, 0.0, 22094.0, 119000.0, 1.225, cruise_30mps
2250.0, 40.0, 0.0, 22115.0, 108200.0, 1.225, cruise_40mps
2250.0, 50.0, 0.0, 22151.0, 132700.0, 1.225, cruise_50mps
2250.0, 60.0, 0.0, 22198.0, 184100.0, 1.225, cruise_60mps
2250.0, 15.0, 4.0, 22085.0, 245100.0, 1.225, climb_15mps_4mps
2250.0, 20.0, 3.0, 22090.0, 200400.0, 1.225, climb_20mps_3mps
2400.0, 35.0, 0.0, 23568.0, 119100.0, 1.225, cruise_heavy_35mps
2100.0, 35.0, 0.0, 20620.0, 109300.0, 1.225, cruise_light_35mps
