# algorithm=nsga2 seed=42 gen=60 generated=2026-05-18 15:00:05
population_index,is_nondominated,is_knee,feasible,combined_objective,gamma_worst,sigma_worst,min_safety_factor,acs_PFWAR,acs_WCFR,acs_FII,acs_hover_margin,obj_mass,obj_power,obj_fault_alloc
0,true,false,true,0.678176,3.3952,0.190597,2.14902,0.333333,0.192037,0.264806,0.358082,1.25764,1.59879,0.674737
1,true,false,true,0.686554,3.23369,0.190141,3.10098,0.333333,0.191291,0.268518,0.293474,1.24969,1.6477,0.676357
2,true,false,true,0.578598,2.66443,0.148639,4.38405,0.333333,0.199278,0.284751,0.0657723,0.949713,1.10216,0.865205
3,true,false,true,0.564434,2.58444,0.16203,5.31913,0.333333,0.197519,0.266163,0.0337749,0.956529,1.10375,0.793699
4,true,false,true,0.598453,2.51152,0.179977,3.02027,0.333333,0.191179,0.269146,0.00460833,1.07673,1.26653,0.714553
5,true,false,true,0.620574,2.85428,0.180429,4.92565,0.333333,0.192805,0.261925,0.14171,1.12569,1.3539,0.712762
6,true,false,true,0.586633,2.5107,0.177748,3.65296,0.333333,0.192436,0.263186,0.0042787,1.03213,1.23488,0.723512
7,true,false,true,0.651685,2.88152,0.186124,4.16636,0.333333,0.191352,0.268176,0.152606,1.19602,1.48274,0.690951
8,true,false,true,0.566923,2.5406,0.167409,3.31072,0.333333,0.195902,0.260454,0.0162409,0.973415,1.13063,0.768194
9,true,false,true,0.575631,2.6973,0.143077,4.36278,0.333333,0.198153,0.289206,0.0789182,0.948139,1.04656,0.898836
10,true,false,true,0.635594,2.89943,0.185865,3.38711,0.333333,0.191466,0.267567,0.159773,1.1647,1.42487,0.691915
11,true,false,true,0.579876,2.52292,0.172052,4.41838,0.333333,0.19446,0.259089,0.00916932,1.00865,1.19179,0.747463
12,true,false,true,0.6659,3.18489,0.187165,3.03128,0.333333,0.192833,0.261836,0.273955,1.22756,1.54177,0.68711
13,true,false,true,0.574881,2.54857,0.168935,6.77931,0.333333,0.195543,0.25978,0.0194282,0.992716,1.1641,0.761259
14,true,false,true,0.605872,2.51243,0.179293,2.6943,0.333333,0.190596,0.272745,0.00497151,1.07129,1.3094,0.717277
15,true,false,true,0.591854,2.57044,0.174907,5.0227,0.333333,0.193271,0.260654,0.0281774,1.05506,1.2285,0.735265
16,true,false,true,0.57866,2.62473,0.14607,3.50157,0.333333,0.199038,0.285553,0.049892,0.941949,1.08975,0.88042
17,true,false,true,0.637746,2.77866,0.183979,2.46521,0.333333,0.191734,0.266207,0.111466,1.14492,1.44395,0.699007
18,true,false,true,0.628833,2.77385,0.183889,2.37795,0.333333,0.191328,0.268309,0.10954,1.14691,1.39236,0.699351
19,true,false,true,0.651521,2.88255,0.186047,4.1442,0.333333,0.191403,0.267901,0.153022,1.19559,1.48194,0.691239
20,true,false,true,0.674975,3.1632,0.187547,1.91689,0.333333,0.192479,0.263029,0.265282,1.22462,1.5959,0.685708
21,true,false,true,0.574488,2.5505,0.17026,3.98619,0.333333,0.195183,0.259326,0.0201996,0.994731,1.16741,0.755334
22,true,false,true,0.58165,2.50539,0.174238,3.98522,0.333333,0.19364,0.25991,0.00215522,1.01605,1.2051,0.738086
23,true,false,true,0.565042,2.57355,0.164325,4.97147,0.333333,0.196904,0.263483,0.0294187,0.963075,1.11396,0.782615
24,true,true,true,0.556634,2.55948,0.1663,3.81326,0.333333,0.196317,0.261506,0.0237939,0.965835,1.076,0.77332
25,true,false,true,0.569228,2.55304,0.168903,2.63122,0.333333,0.195581,0.259842,0.0212155,0.997089,1.12865,0.761401
26,true,false,true,0.622741,2.73899,0.183608,4.30548,0.333333,0.190573,0.2729,0.0955967,1.13412,1.36914,0.700422
27,true,false,true,0.607758,2.51173,0.179981,2.92682,0.333333,0.191179,0.269146,0.00469157,1.07664,1.31783,0.714537
28,true,false,true,0.596392,2.51229,0.179266,2.69252,0.333333,0.190587,0.272804,0.00491646,1.07135,1.25706,0.717385
29,true,false,true,0.672302,3.29654,0.188229,3.26638,0.333333,0.192934,0.261537,0.318615,1.24221,1.56946,0.683227
30,true,false,true,0.680545,3.30357,0.18773,3.18112,0.333333,0.193261,0.260678,0.321426,1.23658,1.61831,0.685041
31,true,false,true,0.558381,2.5683,0.163376,3.4977,0.333333,0.1971,0.26427,0.0273203,0.96309,1.07141,0.787161
32,true,false,true,0.577522,2.62005,0.147286,5.24403,0.333333,0.199278,0.284751,0.0480211,0.943315,1.09104,0.873149
33,true,false,true,0.676883,3.29579,0.189381,3.27446,0.333333,0.192222,0.264023,0.318315,1.25269,1.58936,0.67907
34,true,false,true,0.580338,2.51293,0.173927,2.68687,0.333333,0.193797,0.259663,0.00517097,1.013,1.19961,0.739406
35,true,false,true,0.66834,3.20655,0.187533,2.82483,0.333333,0.192766,0.262047,0.282622,1.23295,1.55195,0.685761
36,true,false,true,0.645246,2.77948,0.184169,2.08219,0.333333,0.191383,0.268012,0.111792,1.15922,1.47184,0.698286
37,true,false,true,0.631006,2.71397,0.181819,4.07399,0.333333,0.191179,0.269149,0.0855874,1.12731,1.41195,0.707312
38,true,false,true,0.683266,3.28082,0.188625,3.34934,0.333333,0.1926,0.262598,0.312327,1.24256,1.6309,0.681792
39,true,false,true,0.623034,2.74166,0.182607,3.9152,0.333333,0.191077,0.269743,0.0966621,1.13302,1.36715,0.704261
40,true,false,true,0.621582,2.85473,0.180889,4.97996,0.333333,0.192919,0.261581,0.141893,1.12848,1.35893,0.710948
41,true,false,true,0.634979,2.80993,0.18484,2.72928,0.333333,0.191489,0.267444,0.12397,1.16087,1.41785,0.695751
42,true,false,true,0.563477,2.57938,0.163647,3.52684,0.333333,0.197105,0.264293,0.0317515,0.958404,1.10621,0.785854
43,true,false,true,0.581684,2.54585,0.174825,4.11879,0.333333,0.193738,0.259751,0.0183404,1.01788,1.2083,0.735607
44,true,false,true,0.674975,3.1632,0.187547,1.91689,0.333333,0.192479,0.263029,0.265282,1.22462,1.5959,0.685708
45,true,false,true,0.568731,2.64942,0.142859,4.54161,0.333333,0.198361,0.288248,0.0597663,0.932507,1.02079,0.90021
46,true,false,true,0.574606,2.59058,0.139081,3.11996,0.333333,0.198052,0.289688,0.0362305,0.932309,1.02046,0.92466
47,false,false,true,0.676473,3.18691,0.186869,2.59609,0.333333,0.193007,0.261328,0.274763,1.22678,1.59939,0.688198
