# algorithm=nsga2 seed=42 gen=60 generated=2026-05-18 15:00:05
population_index,feasible,Lx,Lyi,Lyo,T_max,arm_outer_radius,arm_wall_thickness,m_bat
baseline,true,2.65,2.65,5.5,8000,0.08,0.005,400
0,true,4.63276,3.88944,4.79324,18772,0.109215,0.0147629,657.281
1,true,4.4248,4.71294,4.85193,17765.9,0.129597,0.0148451,666.875
2,true,2.79164,2.03318,5.15932,11124.6,0.101827,0.0188496,418.436
3,true,4.13883,2.03257,5.4294,10868.1,0.11214,0.0189979,401.939
4,true,4.32519,3.69355,4.23431,11888.6,0.103533,0.0137112,603.547
5,true,4.27139,2.20598,4.02718,14125.5,0.129457,0.0137363,654.072
6,true,4.40965,4.71965,5.26855,11392.5,0.104853,0.0190713,468.92
7,true,4.40419,4.74714,4.88215,15151.2,0.126745,0.0187717,666.534
8,true,4.45506,2.0788,5.14839,10872.3,0.107351,0.0110638,437.333
9,true,2.43911,2.03054,5.1805,11243.2,0.102108,0.0189221,418.27
10,true,4.36547,3.65449,4.32793,14846.2,0.107549,0.019034,656.907
11,true,4.10232,3.59478,5.14839,11187.5,0.104853,0.0190713,468.92
12,true,4.36709,3.65361,4.7797,17188,0.109245,0.019034,676.453
13,true,4.17815,2.345,4.88909,11122.7,0.121176,0.0186508,475.707
14,true,4.32695,3.62497,4.02681,11832.9,0.103533,0.0117287,601.605
15,true,4.38775,2.14085,4.2299,11922.7,0.126885,0.0123506,594.357
16,true,2.75651,2.0714,5.24776,10869.3,0.107406,0.0120324,411.054
17,true,4.19489,3.65449,4.3126,13986.2,0.107006,0.0116047,658.287
18,true,4.41358,3.65449,4.3126,13986.2,0.106703,0.0116047,656.741
19,true,4.36901,4.74714,4.88215,15151.2,0.12626,0.0187586,666.534
20,true,4.36718,3.65294,4.65846,17030.1,0.109138,0.0106249,680.489
21,true,4.30956,2.37494,4.89251,11153.7,0.107639,0.0134191,474.182
22,true,4.45536,3.69224,5.14839,11191.3,0.102888,0.0190805,472.957
23,true,4.17509,2.0714,5.24776,10896.3,0.107406,0.0189562,418.143
24,true,2.75651,3.90334,5.15667,10867.9,0.104162,0.0142761,416.885
25,true,4.58732,2.06633,5.14839,11191.3,0.102971,0.0097057,471.453
26,true,4.27139,3.70586,4.02718,13656.5,0.129457,0.0136846,654.072
27,true,4.32519,3.69355,4.23431,11888.6,0.102515,0.013546,603.348
28,true,4.33175,3.62497,4.02681,11832.9,0.103533,0.0117287,601.605
29,true,4.45629,3.65449,4.87307,18002.9,0.127121,0.0146821,666.872
30,true,4.42365,3.37692,4.81812,17959.4,0.122451,0.0149966,666.249
31,true,2.75651,3.6955,5.26545,10874.3,0.107406,0.0121251,413.136
32,true,2.79164,2.03318,5.15932,10865.6,0.108831,0.0189646,416.805
33,true,4.54087,3.87656,4.79504,18150.6,0.129965,0.0146497,677.328
34,true,4.451,3.59478,5.14839,11191.3,0.104853,0.0107959,468.92
35,true,4.42049,3.68788,4.8091,17380.9,0.106982,0.0190143,676.453
36,true,4.32917,3.62498,4.26648,14165,0.103545,0.0106723,680.242
37,true,4.27139,3.2897,4.01357,13450.4,0.130861,0.0115852,660.402
38,true,4.42175,3.87329,4.85193,17922.1,0.129602,0.0146569,666.875
39,true,4.27139,3.38518,4.02718,13656.5,0.130029,0.0115852,660.402
40,true,4.27139,2.29938,4.09726,14162.7,0.129417,0.0141289,654.072
41,true,4.2749,3.62178,4.26648,14340.6,0.103384,0.015034,677.22
42,true,4.2983,2.0263,5.4294,10868.1,0.11214,0.0113567,401.939
43,true,4.40965,3.67872,5.1455,11392.5,0.104853,0.0190713,468.92
44,true,4.36718,3.65294,4.65846,17030.1,0.109138,0.0106249,680.489
45,true,2.43911,2.08397,5.14991,10861.5,0.102108,0.0189221,401.327
46,true,2.42717,2.00244,5.17796,10618,0.101656,0.0115547,414.664
47,true,4.27345,3.65426,4.7797,17188,0.109245,0.0152703,677.261
